In Java's regular expressions, '\d' looks for __	digits	
Does this compile?<br><div align="left"><code><br><div><br /></div><div><div>interface Foo {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void fooThing();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void fooOtherThing(String s);</div><div>}</div><div>class Bar implements Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public void fooThing() { }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public void fooOtherThing(String s) { }</div><div>}</div></div><br></code></div>	yes	
<span style=" font-style: normal; font-weight: normal;">Does this compile?<div align="left"><code><div><br /></div><div><div><div>interface Foo {&nbsp;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void fooThing();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void fooOtherThing(String s);</div><div>}</div><div>class Bar implements Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void fooThing() { }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>void fooOtherThing(String s) { }</div><div>}</div></div></div></code></div></span>	no<div><br /></div><div>the methods in Bar attempt to assign more restrictive access privileges.<br /><br />Methods declared in interfaces are always public</div>	
What is the result?<div><br /><div align="left"><br><code><br><div><div>import java.util.*;</div><div>public class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>String[] sa = {"ba", "a", "aa"};</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Arrays.sort(sa);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>for(String s: sa)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("'"+ s + "' ");</div><div>&nbsp;&nbsp;}</div><div>}</div></div><br></code></div></div>	'a' 'aa' 'ba'	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div><div>import java.util.*;</div><div>public class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>String[] sa = {"z", " a", "aa"};</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Arrays.sort(sa);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>for(String s: sa)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("'"+ s + "' ");</div><div>&nbsp;&nbsp;}</div><div>}</div></div></div></code></div></div></span>	' a' 'aa' 'z'	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><div align="left"><code><div><div>import java.util.*;</div><div>public class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>String[] sa = {"a", " z", "a "};</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Arrays.sort(sa);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>for(String s: sa)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("'"+ s + "' ");</div><div>&nbsp;&nbsp;}</div><div>}</div></div></code></div></div></span>	' z' 'a' 'a '	
What is the result?<div><br /><code><div align="left"><br><div><div><div>import java.util.*;</div><div>public class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>String[] sa = {" &nbsp;z", " a", " "};</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Arrays.sort(sa);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>for(String s: sa)</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.print("'"+ s + "' ");</div><div>&nbsp;&nbsp;}</div><div>}</div></div></div><br></div></code></div>	' ' ' &nbsp;z' ' a'	
Is this a valid interface?<br /><br /><br><code><br><div align="left"><div align="left"><div align="left">public interface Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>public int a = 3;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>int b = 8;</div><div align="left">}</div></div></div><br></code>	yes	
<span style=" font-style: normal; font-weight: normal;">Is this a valid interface?<br /><br /><code><div align="left"><div align="left"><div align="left"><div align="left">public interface Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>protected int a = 3;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>protected int b = 8;</div><div align="left">}</div></div></div></div></code></span>	no<div><br /></div><div>interface variables cannot be protected or private</div>	
<span style=" font-style: normal; font-weight: normal;">Is this a valid interface?<br /><br /><code><div align="left"><div align="left"><div align="left"><div align="left"><div align="left">public interface Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>private int a = 3;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>private int b = 8;</div><div align="left">}</div></div></div></div></div></code></span>	no<div><br /></div><div>interface variables cannot be protected or private</div>	
<span style=" font-style: normal; font-weight: normal;">Is this a valid interface?<br /><br /><code><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left">public interface Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>public void doFoo();</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>void doBar(String s);</div><div align="left">}</div></div></div></div></div></div></div></code></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Is this a valid interface?<br /><br /><code><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left">public interface Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>public void doFoo();</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>static void doBar(String s);</div><div align="left">}</div></div></div></div></div></div></div></div></code></span>	no<div><br /></div><div>interface methods cannot be static or final</div>	
<span style=" font-style: normal; font-weight: normal;">Is this a valid interface?<br /><br /><code><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left"><div align="left">public interface Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>void doFoo();</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>final void doBar(String s);</div><div align="left">}</div></div></div></div></div></div></div></div></code></span>	no<div><br /></div><div>interface methods cannot be final or static</div>	
Does this compile?<div><br /></div><br><code><div align="left"><div align="left">class Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>int doThing(String s) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>return 1;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div align="left">}</div><div align="left">class Bar extends Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>final int doThing(String s) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>return 2;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div align="left">}</div></div></code>	yes<div><br /></div><div>overriding methods can be final</div>	
<span style=" font-style: normal; font-weight: normal;">Does this compile?<div><br /></div><code><div align="left"><div align="left"><div align="left">class Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>int doThing(String s) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>return 1;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div align="left">}</div><div align="left">class Bar extends Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>protected int doThing(String s) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>return 2;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div align="left">}</div></div></div></code></span>	yes<div><br /></div><div>protected is less restrictive than default</div>	
<span style=" font-style: normal; font-weight: normal;">Does this compile?<div><br /></div><code><div align="left"><div align="left"><div align="left"><div align="left"><div align="left">class Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>int doThing(String s) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>return 1;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div align="left">}</div><div align="left">class Bar extends Foo {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>private int doThing(float s) {</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>return 2;</div><div align="left"><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div align="left">}</div></div></div></div></div></code></span>	yes<div><br /></div><div>doThing() in Bar is an overloaded method, not an overriding method</div>	
What is the result?<div><br /><code><div align="left"><br><div>class Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static int y = 1;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Foo(int x) { y = x; }</div><div>}</div><div>class Bar extends Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Bar() { y = 2; }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>new Bar();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(y);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div><br></div></code></div>	compilation fails<div><br /></div><div>Bar's constructor calls super(), which is not defined in Foo.</div>	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div><br /><code><div align="left"><div><div>class Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>static int y = 1;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Foo() { y = 1; }</div><div>}</div><div>class Bar extends Foo {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>Bar() { y = 2; }</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>new Bar();</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>System.out.println(y);</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>}</div><div>}</div></div></div></code></div></span>	2	
What is the result?<div>&nbsp;<br><div align="left"><code><div><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>static final short x = 0;</div><div><span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;static final int y = 2;&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;for(int i=0; i &lt; 3; i++) {</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>switch(i) {</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;case y: System.out.print("0");</div><div>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>case y-1: System.out.print("1");</div><div>&nbsp;&nbsp; &nbsp; &nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>&nbsp;case x: System.out.print("2");</div><div>} } } }</div></div><br></code></div></div>	212012	
<span style=" font-style: normal; font-weight: normal;">What is the result?<div>&nbsp;<div align="left"><code><div><div><div>public class Example {</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>static short x = 0;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>static final int y = 2;&nbsp;</div><div>&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>public static void main(String[] args) {</div><div>&nbsp;&nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>for(int i=0; i &lt; 3; i++) {</div><div>&nbsp;&nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>switch(i) {</div><div>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>case y: System.out.print("0");</div><div>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>case y-1: System.out.print("1");</div><div>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp;<span class="Apple-tab-span" style="white-space:pre"> </span>case x: System.out.print("2");</div><div>} } } }</div></div></div></code></div></div></span>	compile error<div><br /></div><div>case expressions must be constant. x is not marked as final</div>	
It is appropriate to use assertions to check arguments in public methods. T/F	false	
<span style=" font-style: normal; font-weight: normal;">It is NOT appropriate to use assertions to check arguments in public methods. T/F</span>	true	
It is appropriate to have assertions that produce side effects when evaluated. T/F	false	
<span style=" font-style: normal; font-weight: normal;">It is NOT appropriate to have assertions that produce side effects when evaluated. T/F</span>	true	
